date,rangers_wins,rangers_losses,rangers_num_events,rangers_ties,temp,knicks_wins,knicks_losses,knicks_num_events,knicks_ties,mets_wins,mets_losses,mets_num_events,mets_ties,yankees_wins,yankees_losses,yankees_num_events,yankees_ties,giants_wins,giants_losses,giants_num_events,giants_ties,jets_wins,jets_losses,jets_num_events,jets_ties,nets_wins,nets_losses,nets_num_events,nets_ties,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,rangers_pe,rangers_pe_with_na,knicks_pe,knicks_pe_with_na,mets_pe,mets_pe_with_na,yankees_pe,yankees_pe_with_na,giants_pe,giants_pe_with_na,jets_pe,jets_pe_with_na,nets_pe,nets_pe_with_na,sum_pe_with_na,sum_pe,mean_pe
18/03/2013,1,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,1,0,1,0,3,3,0,3,1,0,0.571465696,0.571465696,0.607021794,0.607021794,0,,0,,0,,0,,0.458911525,0.458911525,1.637399015,1.637399015,0.545799672
19/03/2013,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0.514319126,0.514319126,0,,0,,0,,0,,0,,0,,0.514319126,0.514319126,0.514319126
20/03/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,1,0,1,0,2,2,0,2,1,0,0,,0.546319615,0.546319615,0,,0,,0,,0,,0.413020373,0.413020373,0.959339987,0.959339987,0.479669994
21/03/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,-1,0,1,-0.537112786,-0.537112786,0,,0,,0,,0,,0,,0,,-0.537112786,-0.537112786,-0.537112786
22/03/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,,0.491687653,0.491687653,0,,0,,0,,0,,0,,0.491687653,0.491687653,0.491687653
23/03/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,0,1,1,0,2,1,1,0,0.5,0.5,0,,0.442518888,0.442518888,0,,0,,0,,0,,-0.628281664,-0.628281664,-0.185762777,-0.185762777,-0.092881388
24/03/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,1,1,0,0.5,0.5,-0.483401508,-0.483401508,0,,0,,0,,0,,0,,0.434546502,0.434546502,-0.048855006,-0.048855006,-0.024427503
25/03/2013,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,0,,0,,0,,,0,
26/03/2013,1,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,2,0,2,1,0,0.564938643,0.564938643,0.398266999,0.398266999,0,,0,,0,,0,,0,,0.963205642,0.963205642,0.481602821
27/03/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,1,0,1,0,2,2,0,2,1,0,0,,0.358440299,0.358440299,0,,0,,0,,0,,0.391091852,0.391091852,0.749532151,0.749532151,0.374766075
28/03/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,-1,0,1,-0.491555221,-0.491555221,0,,0,,0,,0,,0,,0,,-0.491555221,-0.491555221,-0.491555221
29/03/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,0,1,1,0,2,1,1,0,0.5,0.5,0,,0.322596269,0.322596269,0,,0,,0,,0,,-0.648017333,-0.648017333,-0.325421064,-0.325421064,-0.162710532
30/03/2013,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,2,0,2,-2,0,1,-0.442399699,-0.442399699,0,,0,,0,,0,,0,,-0.5832156,-0.5832156,-1.025615299,-1.025615299,-0.51280765
31/03/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,,0.290336642,0.290336642,0,,0,,0,,0,,0,,0.290336642,0.290336642,0.290336642
01/04/2013,1,0,1,0,0,,,,,1,0,1,0,0,1,1,0,,,,,,,,,,,,,3,2,1,1,0.666666667,0.333333333,0.601840271,0.601840271,0,,0.5,0.5,-0.5,-0.5,0,,0,,0,,0.601840271,0.601840271,0.200613424
02/04/2013,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,,0.261302978,0.261302978,0,,0,,0,,0,,0,,0.261302978,0.261302978,0.261302978
03/04/2013,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,,,,,,,,,1,0,1,0,5,4,1,3,0.8,0.2,0.541656244,0.541656244,0.23517268,0.23517268,0.45,0.45,-0.45,-0.45,0,,0,,0.47510596,0.47510596,1.251934884,1.251934884,0.250386977
04/04/2013,,,,,0,,,,,0,1,1,0,1,0,1,0,,,,,,,,,0,1,1,0,3,1,2,-1,0.333333333,0.666666667,0,,0,,-0.595,-0.595,0.595,0.595,0,,0,,-0.572404636,-0.572404636,-0.572404636,-0.572404636,-0.190801545
05/04/2013,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,,,,,,,,,,,,,4,1,3,-2,0.25,0.75,-0.512509381,-0.512509381,0.211655412,0.211655412,-0.5355,-0.5355,-0.4645,-0.4645,0,,0,,0,,-1.300853968,-1.300853968,-0.325213492
06/04/2013,1,0,1,0,0,,,,,1,0,1,0,0,1,1,0,,,,,,,,,1,0,1,0,4,3,1,2,0.75,0.25,0.538741557,0.538741557,0,,0.51805,0.51805,-0.41805,-0.41805,0,,0,,0.484835828,0.484835828,1.123577385,1.123577385,0.280894346
07/04/2013,,,,,0,1,0,1,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,3,3,0,3,1,0,0,,0.190489871,0.190489871,0.466245,0.466245,0.623755,0.623755,0,,0,,0,,1.280489871,1.280489871,0.426829957
08/04/2013,0,1,1,0,0,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,3,2,1,1,0.666666667,0.333333333,-0.515132598,-0.515132598,0,,0.4196205,0.4196205,0.5613795,0.5613795,0,,0,,0,,0.465867402,0.465867402,0.155289134
